retweet_count,reply_count,favorite_count,num_hashtags,num_urls,num_mentions,clean,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,url_ratio,hashtag_ratio,mention_ratio,entropy,wavelet_avg,label
7,0,8,0,1,0,"""Tengo una alegria immensa por vivir...Rebellion con todo lo que te encadena...Yo soy la? http://t.co/QsvWUvyliR",18665,12561,3442,16358,110,http://t.co/ceK8TovxwI,0.008928571,0,0,4.506865916,-0.05418514,bot
4,0,9,3,0,2,Adoro @pif_iltestimone .... Adoro tanto tanto @pif_iltestimone #Sanremo2014 #Sanremo #leosanremo,18665,12561,3442,16358,110,http://t.co/ceK8TovxwI,0,0.03125,0.020833333,4.232840434,-0.013565688,bot
3,0,5,0,1,1,"Cuando te mueres de amorCierra los ojos y no piensesEl tiempo pasa,elamor desaparecey ladanzaacabar? @SantanaCarlos http://t.co/N90FvRKq1D",18665,12561,3442,16358,110,http://t.co/ceK8TovxwI,0.007246377,0,0.007246377,4.563892421,-0.006915002,bot
9,0,9,0,1,0,"El mundo cambia con tu ejemplo, no con tu opinion http://t.co/NrCraP5LMp",18665,12561,3442,16358,110,http://t.co/ceK8TovxwI,0.013888889,0,0,4.362798141,-0.039298192,bot
4,0,5,3,0,1,felicitaciones @D_Ospina1 primo para este primer partido. Trae a colaci?n nuestro apellido #Brasil2014 #Mondiali2014 #CopaMundial2014,18665,12561,3442,16358,110,http://t.co/ceK8TovxwI,0,0.022556391,0.007518797,4.461625774,0.018377598,bot
3,0,6,0,1,0,No importa el tiempo ni la distancia si es tu destino suceder?? ... http://t.co/6hl8hep5vh,18665,12561,3442,16358,110,http://t.co/ceK8TovxwI,0.011111111,0,0,4.287381944,-0.002074257,bot
4,0,0,0,1,2,RT @DemocracyNowEs: El presidente @BarackObama limita el monto del pago de deudas estudiantiles http://t.co/qnpa6kZ5bF http://t.co/BoewFrGh?,18665,12561,3442,16358,110,http://t.co/ceK8TovxwI,0.007142857,0,0.014285714,4.792088211,-0.018244,bot
0,0,0,0,1,0,"[Genocidio sionista] Israel, responsable de cr?menes de guerra, se retira impunemente de Gaza. La Franja ha quedado? http://t.co/Th1W4TgL0g",22987,600,755,14,6,,0.007194245,0,0,4.607195031,0.008468662,bot
0,0,0,1,0,0,Carlos Alberto Valderrama   #COL http://t.co/xtXLWgtFPw,22987,600,755,14,6,,0,0.018181818,0,4.558010395,-0.067713522,bot
0,0,0,0,1,0,El CNI desclasifica su manual sobre c?mo blindar un iPhone http://t.co/3dweCC4x3U http://t.co/wDzwKjg5Co,22987,600,755,14,6,,0.009615385,0,0,4.88484449,0.014902667,bot
0,0,0,2,0,0,Escobar  #BRAvsCOL #COL http://t.co/YmAmXEqi61,22987,600,755,14,6,,0,0.043478261,0,4.708132065,-0.068110856,bot
0,0,0,1,0,0,Escobar memorial  #BRAvsCOL http://t.co/xgBtX0Mdjp,22987,600,755,14,6,,0,0.02,0,4.85366069,-0.03122188,bot
0,0,0,2,0,0,Francisco Papa #ARG #GERvsARG http://t.co/ObBMaesRnt,22987,600,755,14,6,,0,0.038461538,0,4.526986833,-0.080797684,bot
0,0,0,2,0,0,#BRAvsMEX Hasta la victoria siempre #MEX,22987,600,755,14,6,,0,0.05,0,4.193942708,0.036187645,bot
0,0,0,0,1,0,La Gravidanza  http://t.co/seIZDyTVr3,22987,600,755,14,6,,0.027027027,0,0,4.553651676,-0.072783767,bot
0,0,0,0,0,0,La Honda XR650L http://t.co/OWr7OPV57u,22987,600,755,14,6,,0,0,0,4.556752184,-0.061823184,bot
0,0,0,0,0,0,"La vida por los colores La historia de Abd?n Porte, un jugador que se mat? por su equipo http://t.co/kpKi3JnVM2",22987,600,755,14,6,,0,0,0,4.575808948,-0.001028373,bot
0,0,0,0,1,0,Los 10 trucos psicol?gicos que usan los restaurantes para 'saquearnos' los bolsillos http://t.co/zrmU9A3bal http://t.co/2sa69WwZWF,22987,600,755,14,6,,0.007692308,0,0,4.622974171,-0.010657714,bot
1980,0,0,1,0,0,RT @Fifamundial_: Asi defienden los de Iran. #ARGvsIRN http://t.co/GuLAJXsYTB,22987,600,755,14,6,,0,0.012987013,0,4.893092547,-0.03338359,bot
414,0,0,2,1,1,RT @miseleccionmx: #Selecci?nBanamex #Social D?a 9: La Fortaleza de M?xico http://t.co/Cj4mJWpwcL http://t.co/sdw81kwQcQ,22987,600,755,14,6,,0.008333333,0.016666667,0.008333333,4.934964678,-0.059842703,bot
318,0,0,3,0,2,RT @CF_America: Hoy alentemos a @miseleccionmx y a nuestras #?guilasTricolor en su partido mundialista vs Brasil #VamosM?xico #MEX http://t?,22987,600,755,14,6,,0,0.021428571,0.014285714,4.64276652,0.005442347,bot
0,0,0,2,0,0,todo Argentina #ARG  #GERvsARG http://t.co/w8NRi9nwbz,22987,600,755,14,6,,0,0.037735849,0,4.577095578,-0.030117555,bot
0,0,0,1,0,0,vamos #ARG http://t.co/bWEQGJI3yv,22987,600,755,14,6,,0,0.03030303,0,4.513794877,0.042387859,bot
0,0,0,2,0,0,#CoppadelMondo vamos #MEX http://t.co/BZnRhvvacJ,22987,600,755,14,6,,0,0.041666667,0,4.498734053,0.045025266,bot
0,0,0,1,0,0,#ARGvsBIH vamos a ganar,22987,600,755,14,6,,0,0.043478261,0,3.795088586,0.090017364,bot
0,0,0,0,0,0,""" A la segunda copa ??qu? hacemos con la ropa??, pregunt?""",7975,398,350,11,2,,0,0,0,4.030166022,0.107269804,bot
1,0,1,0,0,3,"""@CarlaDeMoya: ""@ChisteTipico: Si no se saludan con insultos, no son amigos"" por eso @RafielaMorales somos hermanas ",7975,398,350,11,2,,0,0,0.025862069,4.254465732,-0.071081864,bot
