clean,retweet_count,favorite_count,num_hashtags,num_urls,num_mentions,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,url_ratio,hashtag_ratio,mention_ratio,entropy,wavelet_avg,label
"Acabo de ver el final de mi novela, mueeeero, llor� y llor� pero me declaro enamorada se Do Min Joon y Cheon Song Yi... #MyLoveFromTheStars",0,0,1,0,0,Pamela Bollier,PamelaBollier,43,5,39,0,0,0,0,0.007194245,0,4.311858773,-0.049239617,bot
"hace 5 a�os pero mirame ahora sigo loca por ti! , de 16 a 20 paso muy rapido el tiempo. me da pena que desde hoy los medios",0,0,0,0,0,Janay Mahnke,JanayMahnke,39,2,40,0,0,0,0,0,0,4.022651897,-0.014447144,bot
"Cayetana, que te pas�? #TierraDeReyes",0,0,1,0,0,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0.027027027,0,3.932125665,-0.002196201,human
"#YoConfiesoQue los espa�oles somos gilipollas, sin excepciones.",0,0,1,0,0,YskÅ�?,ItsYsko,18492,930,282,7159,7,0,0,0.015873016,0,3.930470948,0.028538894,human
"RT @Todo_Bonches: Si haces algo mal te critican, si haces algo bien, buscan el error para criticarte.",1964,0,0,0,1,ã€ŽPleasure and painã€�?,AngelBiedma,6747,592,254,7636,3,http://t.co/s1SZws5B9A,0,0,0.00990099,4.198839672,-0.053225756,human
RT @Avivir: De Alfonso Guerra a Vladimir Putin. Hoy con @Chemaparis... �Pero d�nde se habr� metido @RafaelPanadero?  http://t.co/B0tJtWja2l,2,0,0,1,3,JosÃ© MarÃ­a PatiÃ±o,Chemaparis,2466,3913,165,156,96,http://t.co/2F7mAXv2Rj,0.007194245,0,0.021582734,4.843380366,-0.04333397,human
Con este clima no salgo ni a la esquina.,0,0,0,0,0,Michele Sefcovic,MicheleSefcovic,69,7,45,0,0,0,0,0,0,3.637326145,-0.038772727,bot
"Arturo le dijo a Sof�a que estuvo secuestrado toda la noche, Sofi no le cree, y le da una cachetada. #TierraDeReyes",0,1,1,0,0,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0.008695652,0,4.157810872,0.009825238,human
@laliesposMX Eso fue cuando grabaron solamente vos?,0,0,0,0,1,Marco,PeterLaliOK,9053,243,965,272,0,,0,0,0.019607843,4.187158558,0.050912868,bot
RT @BorrachosVIP: �Salud! Por esa persona con la que siempre hemos tra�do algo ,186,0,0,0,1,MannÃ½â„¢,v1ck_mendoza,9898,109,111,7922,2,0,0,0,0.012658228,4.339967093,-0.047353173,human
Enteraaaaaaas! :D RT @CarlaDeMoya: SalimOs niiiiisTidas de la aventuRa @RafielaMorales !! Yeiiiii,0,0,0,0,2,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0,0.020618557,4.134877486,-0.014881518,bot
"RT @ElenaSheathes: @AngelBiedma AJAJAJAJAJAJAJAJAJ bueno, a�n faltan retoques y tal pero... El concepto lo llevas bien ",1,0,0,0,2,ã€ŽPleasure and painã€�?,AngelBiedma,6747,592,254,7636,3,http://t.co/s1SZws5B9A,0,0,0.016806723,4.449029268,-0.065483743,human
@PavloGarvia separarse de la gente y buscar a las personas,0,1,0,0,1,â€  RÃ˜NÃŠÃ˜ Å ANTÃ˜Å  â€ ,Adrianaldo_,8102,241,273,1067,0,0,0,0,0.017241379,3.838451962,-0.020265607,human
No me llegan los mensajes a whatssap lol,0,0,0,0,0,Brittanie Gruis,BrittanieGruis,35,0,49,0,1,0,0,0,0,3.54104576,-0.11554109,bot
"Escapate conmigo, vete conmigo vamos a fugarnos hasta que salga el sol",0,0,0,0,0,Harmony Landherr,HarmonyLandherr,51,4,42,0,0,0,0,0,0,3.970305727,0.010232523,bot
"Bien, y yo aca dandote a vosBue",0,0,0,0,0,Lola Redmon,LolaRedmon,46,7,37,0,0,0,0,0,0,3.63098502,0.012490786,bot
Me hubiera gustado ver a Jlo con el pelo negro. #Billboards2015,0,0,1,0,0,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0.015873016,0,4.297145456,-0.062724732,human
RT @ceratiquotes: Y si te abrazo es para sentir que a nuestro amor nunca podr�n sacarlo de ra�z. #Cerati,818,0,1,0,1,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0.009615385,0.009615385,4.135817997,-0.009805764,bot
De que sirve salir a las 6 de CU si llego a mi casa a las 9.,0,0,0,0,0,Stephaine Kulis,StephaineKulis,58,3,39,0,0,0,0,0,0,3.628072996,-0.000263493,bot
"Si me van a juzgar antes de conocerme, por favor piensen lo peor de m� porque lo que menos quiero, es conocer gente con prejuicios. Gu�cala.",0,0,0,0,0,Britni Malboeuf,BritniMalboeuf,72,3,30,0,0,0,0,0,0,4.110225059,-0.040282821,bot
"Listo, martes a lo de Ro :3",0,0,0,0,0,Sylvia Tutton,SylviaTutton,60,3,33,0,0,0,0,0,0,3.70804815,-0.053634775,bot
RT @elcomerciocom: #Ecuador exporta talento futbol�stico. Varios ecuatorianos juegan en la Liga Mexicana � http://t.co/PmReAt6aET http://t.�,15,0,1,1,1,david,Danilology,6705,341,185,1012,4,0,0.007142857,0.007142857,0.007142857,4.647921344,0.01323183,human
"RT @sdpnoticias: Piloto mexicano de F1, Esteban Guti�rrez, virtualmente fuera de Sauber para temporada 2015 http://t.co/Ws9sUqitUH",1,0,0,1,1,0,0,0,0,0,0,0,0,0.007692308,0,0.007692308,4.808654617,0.031908579,bot
@NeuerFC fuck sake ahora quiero comer helado . tu me antojaste,0,0,0,0,1,david,Danilology,6705,341,185,1012,4,0,0,0,0.016129032,4.097848182,-0.032614044,human
Y estoy pidiendole a dios un buen amor que de su abrigo (8,0,0,0,0,0,Gwyn Lamke,GwynLamke,67,2,35,0,0,0,0,0,0,3.919987409,0.043111715,bot
Me cago en la ******* me funciona el link durante la publicidad y a mitad del opening se rompe?! Porque?,1,0,0,0,0,Beatriz â�?€ â˜ƒ,beparmurma,28817,854,556,216,12,http://t.co/iGJXK6V59r,0,0,0,4.157254588,-0.033722437,human
@Chi_no_Naito ahaha XD,0,0,0,0,0,Nic Nic,janicaluvsu,3298,460,480,1898,4,http://t.co/qelWcOsj8b,0,0,0,3.516027641,-0.103453197,human
"Maricaasssss lloro a moco tendido, los �ngeles en la tierra si que existen",0,0,0,0,0,Samara Gaumer,SamaraGaumer,67,8,42,0,0,0,0,0,0,3.85076967,0.00042732,bot
Me: haha funny dad,0,0,0,0,0,Criselda Lunan,CriseldaLunan,76,6,40,0,0,0,0,0,0,3.308270835,-0.206663865,bot
"Fueron tus labios, los que me ense�aron, lo que es realmente besar.",0,0,0,0,0,ã€ŽPleasure and painã€�?,AngelBiedma,6747,592,254,7636,3,http://t.co/s1SZws5B9A,0,0,0,3.779120368,-0.043210433,human
Ya hoy le puse fin a todo en silencio. Ma�ana ser� otro d�a :),0,0,0,0,0,Billy Nealeigh,BillyNealeigh,64,4,37,0,0,0,0,0,0,4.079282087,-0.03211138,bot
@tiendas_paris Por favor puedes confirmar el d�a de despacho de mi lavadora? Gracias.,0,0,0,0,1,Sarah Friedlander G.,sarahfriedland,18035,1620,591,361,72,http://t.co/laTO6ixXFe,0,0,0.011764706,4.122726847,0.004344865,human
Notaron la nueva "p�gina no encontrada" de @biobio? Mire http://t.co/DgPLoBByU9,1,0,0,1,1,E. Woo / ì—�?ë�?„ ìš°,edowoo,82194,4493,1894,1636,132,http://t.co/vp9W2kMiPH,0.012658228,0,0.012658228,4.599118843,0.056927984,human
Junior alonzo Qkiiere kee le lleve a Anaa :D,0,0,0,0,0,Shantell Ringer,ShantellRinger,43,4,34,0,0,0,0,0,0,3.688610097,0.062241082,bot
RT @Ana_Kaehler: #UnaBuenaFrase nunca sabras lo que tienes hasta que lo pierdes.LP,3,0,1,0,1,â˜¾hÎ�?nâ˜¢ â™‘,ChanooChanoo,6607,245,151,1103,2,https://t.co/QDQ5vD2Etw,0,0.012195122,0.012195122,4.329908746,-0.062740099,human
@leshernandez8 Yo tambien enojona,0,0,0,0,1,Cristian ,Bigpoppa_33,24257,510,322,8884,2,0,0,0,0.03030303,3.908517045,-0.133561555,human
"""Hoy hemos decidido subir el list�n y dar otro gran paso: ofrecer una versi�n de YouTube sin anuncios a cambio de un pago mensual""",0,0,0,0,0,E. Woo / ì—�?ë�?„ ìš°,edowoo,82194,4493,1894,1636,132,http://t.co/vp9W2kMiPH,0,0,0,4.180436965,0.044830684,human
Porq t vas a ir a xuparla .. ea ya no tkiero yo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.667971097,-0.026336131,bot
"Aleuy dice que se ha visto aumento de actividad en otros volcanes de Chile. No aclara cu�les, tras tercer pulso eruptivo del Calbuco.",0,0,0,0,0,E. Woo / ì—�?ë�?„ ìš°,edowoo,82194,4493,1894,1636,132,http://t.co/vp9W2kMiPH,0,0,0,4.135360549,0.018778074,human
RT @JoaqGuirao: Este art�culo me da ganas de dejar de dibujar c�mics para siempre para que no me lean semejantes gilipollas. http://t.co/tj�,1,0,0,1,1,Akira Sanz,akiraoltar,17282,242,139,466,16,http://t.co/DhOnHqZNAf,0.007142857,0,0.007142857,4.414174489,-0.03825486,human
@MistysDiamonds creo que se lo ha desactivado :(,0,0,0,0,1,Isa,whatisasays,12413,960,513,1258,6,http://t.co/QZofenSIfc,0,0,0.020833333,4.152235419,-0.054537676,human
"RT @Telemundo: ""No se preocupe por las necesidades diarias, Dios proveer�. Pon a Dios primero, y todo lo dem�s vendr� por a�adidura"" #LaBib�",134,0,1,0,1,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0.007142857,0.007142857,4.364095986,-0.034819001,human
"Me aclaro, eres un puto 0 a la izquierda, se me acabo la tonter�a y la paciencia",0,0,0,0,0,â€  RÃ˜NÃŠÃ˜ Å ANTÃ˜Å  â€ ,Adrianaldo_,8102,241,273,1067,0,0,0,0,0,3.930875438,0.00378849,human
RT @SomeecardES: Y le toc� criticarme porque superarme no pudo.,1321,0,0,0,1,â˜¾hÎ�?nâ˜¢ â™‘,ChanooChanoo,6607,245,151,1103,2,https://t.co/QDQ5vD2Etw,0,0,0.015873016,4.226172385,-0.042338788,human
"van de a decir que soy una forra pero me parecen altas pelotudas esas pibas que se viste asi re bieber y se sacan las tetas y todo eso, ew.",0,0,0,0,0,Edith Hokenson,EdithHokenson,61,15,40,0,1,0,0,0,0,3.845989031,-0.015312598,bot
Y el cree q hace lo que le da la gana conmigo! #MasBien,0,0,1,0,0,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0.018181818,0,3.845987496,0.013222826,bot
@Nikov12 que de que? compra un caf� o cuelalo' y consigue un chocolate de cualquier marca y tiralo y se derretira. *.* #Heaven,0,0,1,0,1,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0.007936508,0.007936508,4.347733826,0.021756321,bot
RT @Soelmocar: De paseo en la Playa El Tunco ,15,0,2,0,1,Yuung.K,K_smaacks,7837,233,196,630,0,0,0,0.044444444,0.022222222,3.933209419,-0.068278425,human
